id,name
0,Asplenium oblongifolium
1,Asplenium platyneuron
2,Asplenium polyodon
3,Asplenium rhizophyllum
4,Asplenium ruta-muraria
5,Asplenium scolopendrium
6,Asplenium trichomanes
7,Asplenium viride
8,Athyrium angustum
9,Athyrium filix-femina
10,Deparia acrostichoides
11,Blechnum chambersii
12,Blechnum filiforme
13,Blechnum novae-zelandiae
14,Blechnum parrisiae
15,Blechnum penna-marina
16,Blechnum procerum
17,Cranfillia fluviatilis
18,Lomaria discolor
19,Struthiopteris spicant
20,Telmatoblechnum serrulatum
21,Woodwardia areolata
22,Woodwardia fimbriata
23,Woodwardia virginica
24,Cystopteris bulbifera
25,Cystopteris fragilis
26,Cystopteris protrusa
27,Gymnocarpium dryopteris
28,Dennstaedtia punctilobula
29,Histiopteris incisa
30,Hypolepis ambigua
31,Paesia scaberula
32,Pteridium aquilinum
33,Pteridium esculentum
34,Pteridium pinetorum
35,Homalosorus pycnocarpos
36,Cyrtomium falcatum
37,Dryopteris arguta
38,Dryopteris carthusiana
39,Dryopteris cristata
40,Dryopteris expansa
41,Dryopteris filix-mas
42,Dryopteris fragrans
43,Dryopteris intermedia
44,Dryopteris marginalis
45,Polystichum acrostichoides
46,Polystichum lonchitis
47,Polystichum munitum
48,Polystichum neozelandicum
49,Polystichum vestitum
50,Rumohra adiantiformis
51,Nephrolepis cordifolia
52,Matteuccia struthiopteris
53,Onoclea sensibilis
54,Microsorum pustulatum
55,Microsorum scandens
56,Notogrammitis heterophylla
57,Phlebodium aureum
58,Pleopeltis michauxiana
59,Polypodium californicum
60,Polypodium glycyrrhiza
61,Polypodium scouleri
62,Polypodium virginianum
63,Polypodium vulgare
64,Pyrrosia eleagnifolia
65,Acrostichum danaeifolium
66,Adiantum aleuticum
67,Adiantum capillus-veneris
68,Adiantum cunninghamii
69,Adiantum hispidulum
70,Adiantum jordanii
71,Adiantum pedatum
72,Aspidotis densa
73,Astrolepis sinuata
74,Cryptogramma acrostichoides
75,Myriopteris alabamensis
76,Myriopteris aurea
77,Myriopteris parryi
78,Pellaea andromedifolia
79,Pellaea atropurpurea
80,Pellaea glabella
81,Pellaea mucronata
82,Pellaea rotundifolia
83,Pentagramma triangularis
84,Pteris cretica
85,Pteris macilenta
86,Pteris tremula
87,Pteris vittata
88,Parathelypteris noveboracensis
89,Phegopteris connectilis
90,Phegopteris hexagonoptera
91,Pneumatopteris pennigera
92,Thelypteris palustris
93,Woodsia ilvensis
94,Woodsia obtusa
95,Psilotum nudum
96,Tmesipteris elongata
97,Azolla filiculoides
98,Salvinia minima
99,Lygodium japonicum
